"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18","19","100nF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C19,C20,C21","3","1nF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"D0","1","US1M","","","","Diode_SMD:D_SMA","https://www.diodes.com/assets/Datasheets/ds16008.pdf"
"D1","1","WS2812B","","","","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf"
"D2,D3,D6,D7,D9,D10","6","RB551V-30-HF","","","","Diode_SMD:D_SOD-323_HandSoldering","~"
"D4,D5,D8,D11,D12,D13","6","D","","","","Diode_SMD:D_SMA","~"
"J1,J2,J5,J6","4","Conn_01x04","","","","velion_mainboard:15EDG-4P","~"
"J3,J7,J8,J9,J10,J13,J14,J15,J16","9","Conn_01x03","","","","velion_mainboard:15EDG-3P","~"
"J4,J11,J12,J17","4","Conn_01x04","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"LS1,LS2,LS3","3","Speaker_Ultrasound","","","","velion_mainboard:15EDG-2P","~"
"Q0,Q5,Q6,Q11,Q12,Q17,Q18,Q19","8","NMOS","","","","Package_TO_SOT_SMD:SOT-23","~"
"Q1,Q2,Q3,Q4,Q7,Q8,Q9,Q10,Q13,Q14,Q15,Q16","12","BSS123-7-F","","","","velion_mainboard:BSS123_TSOT-23_HandSoldering","~"
"R0,R14,R16,R28,R29,R35,R37,R44","8","10K","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R1,R13,R15,R26,R27,R36,R38,R45","8","0.001 R","","","","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","~"
"R2,R3","2","4k7","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R4,R7,R9,R10,R18,R19,R20,R21,R40,R41,R42,R43","12","470R","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R5,R12,R17,R23,R30,R31","6","1K","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R6,R11,R24,R25,R32,R34","6","100K","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R8,R22,R33","3","39K","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R39","1","120 R","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"U1","1","ESP32-C3_SUPERMINI_TH","","","","velion_mainboard:MODULE_ESP32-C3_SUPERMINI_TH",""
"U2","1","MCP23017_SO","","","","Package_SO:SOIC-28W_7.5x17.9mm_P1.27mm","https://ww1.microchip.com/downloads/aemDocuments/documents/APID/ProductDocuments/DataSheets/MCP23017-Data-Sheet-DS20001952.pdf"
"U3,U4,U9,U11,U12,U13","6","LM2104DR","","","","Package_SO:SO-8_3.9x4.9mm_P1.27mm",""
"U5,U7,U10","3","MCP6L01x-xOT","","","","Package_TO_SOT_SMD:SOT-23-5","http://ww1.microchip.com/downloads/en/devicedoc/22140b.pdf"
"U6,U14","2","ADS1115IDGS","","","","Package_SO:TSSOP-10_3x3mm_P0.5mm","http://www.ti.com/lit/ds/symlink/ads1113.pdf"
"U8","1","TJA1051T-3","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.nxp.com/docs/en/data-sheet/TJA1051.pdf"
